date,strategy_key,strategy_name,cap_variant,cap_label,nav_end,cum_return,cash_weight_end,gross_exposure_end,max_position_weight_end,holding_count_end,drawdown,primary_benchmark_key,primary_benchmark_nav,relative_to_primary,secondary_benchmark_key,secondary_benchmark_nav,relative_to_secondary
2019-02-14,p5,P5 Cash-Aware Copy,u0,Uncapped,1.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,1,0.000000000000,SPY,1.000000000000,1.000000000000,,,
2019-02-15,p5,P5 Cash-Aware Copy,u0,Uncapped,1.013529975562,0.013529975562,0.000000000000,1.000000000000,1.000000000000,1,0.000000000000,SPY,1.010897228532,1.002604366651,,,
2019-02-19,p5,P5 Cash-Aware Copy,u0,Uncapped,1.006156138881,0.006156138881,0.000000000000,1.000000000000,1.000000000000,1,-0.007275400688,SPY,1.012646689477,0.993590508256,,,
2019-02-20,p5,P5 Cash-Aware Copy,u0,Uncapped,0.996017051720,-0.003982948280,0.000000000000,1.000000000000,1.000000000000,1,-0.017279137534,SPY,1.014687632469,0.981599676441,,,
2019-02-21,p5,P5 Cash-Aware Copy,u0,Uncapped,0.958718760694,-0.041281239306,0.000000000000,1.000000000000,1.000000000000,1,-0.054079520281,SPY,1.011079526668,0.948213009370,,,
2019-02-22,p5,P5 Cash-Aware Copy,u0,Uncapped,0.970174798396,-0.029825201604,0.000000000000,1.000000000000,1.000000000000,1,-0.042776413339,SPY,1.017348218523,0.953630999427,,,
2019-02-25,p5,P5 Cash-Aware Copy,u0,Uncapped,0.983540340313,-0.016459659687,0.000000000000,1.000000000000,1.000000000000,1,-0.029589292840,SPY,1.018733083196,0.965454402666,,,
2019-02-26,p5,P5 Cash-Aware Copy,u0,Uncapped,0.980544487695,-0.019455512305,0.000000000000,1.000000000000,1.000000000000,1,-0.032545152745,SPY,1.018004215604,0.963202777224,,,
2019-02-27,p5,P5 Cash-Aware Copy,u0,Uncapped,1.036113183677,0.036113183677,0.000000000000,1.000000000000,1.000000000000,1,0.000000000000,SPY,1.017566870677,1.018226136812,,,
2019-02-28,p5,P5 Cash-Aware Copy,u0,Uncapped,1.053033553846,0.053033553846,0.000000000000,1.000000000000,1.000000000000,1,0.000000000000,SPY,1.015671632152,1.036785433906,,,
2019-03-01,p5,P5 Cash-Aware Copy,u0,Uncapped,0.970438484781,-0.029561515219,0.000000000000,1.000000000000,1.000000000000,1,-0.078435363017,SPY,1.022013271694,0.949536088873,,,
2019-03-04,p5,P5 Cash-Aware Copy,u0,Uncapped,0.939395091582,-0.060604908418,0.000000000000,1.000000000000,1.000000000000,1,-0.107915328860,SPY,1.018295738269,0.922516962684,,,
2019-03-05,p5,P5 Cash-Aware Copy,u0,Uncapped,0.910359961543,-0.089640038457,0.000000000000,1.000000000000,1.000000000000,1,-0.135488172985,SPY,1.016910792358,0.895221064015,,,
2019-03-06,p5,P5 Cash-Aware Copy,u0,Uncapped,0.909372372086,-0.090627627914,0.000000000000,1.000000000000,1.000000000000,1,-0.136426024826,SPY,1.010751406271,0.899699338971,,,
2019-03-07,p5,P5 Cash-Aware Copy,u0,Uncapped,0.910524395188,-0.089475604812,0.000000000000,1.000000000000,1.000000000000,1,-0.135332020653,SPY,1.002296071020,0.908438555746,,,
2019-03-08,p5,P5 Cash-Aware Copy,u0,Uncapped,0.935379059054,-0.064620940946,0.000000000000,1.000000000000,1.000000000000,1,-0.111729103371,SPY,1.000291482046,0.935106492300,,,
2019-03-11,p5,P5 Cash-Aware Copy,u0,Uncapped,0.957698580785,-0.042301419215,0.000000000000,1.000000000000,1.000000000000,1,-0.090533651765,SPY,1.014796978855,0.943734166282,,,
2019-03-12,p5,P5 Cash-Aware Copy,u0,Uncapped,0.932811326466,-0.067188673534,0.000000000000,1.000000000000,1.000000000000,1,-0.114167518158,SPY,1.018623736810,0.915756518091,,,
2019-03-13,p5,P5 Cash-Aware Copy,u0,Uncapped,0.951246165067,-0.048753834933,0.000000000000,1.000000000000,1.000000000000,1,-0.096661106768,SPY,1.025366208847,0.927713588433,,,
2019-03-14,p5,P5 Cash-Aware Copy,u0,Uncapped,0.954538294522,-0.045461705478,0.000000000000,1.000000000000,1.000000000000,1,-0.093534777656,SPY,1.024710211766,0.931520232317,,,
2019-03-15,p5,P5 Cash-Aware Copy,u0,Uncapped,0.906705880552,-0.093294119448,0.000000000000,1.000000000000,1.000000000000,1,-0.138958224797,SPY,1.029753509199,0.880507686988,,,
2019-03-18,p5,P5 Cash-Aware Copy,u0,Uncapped,0.887151609302,-0.112848390698,0.000000000000,1.000000000000,1.000000000000,1,-0.157527691248,SPY,1.033487249610,0.858405954826,,,
2019-03-19,p5,P5 Cash-Aware Copy,u0,Uncapped,0.880501675692,-0.119498324308,0.000000000000,1.000000000000,1.000000000000,1,-0.163842716619,SPY,1.033743514971,0.851760289608,,,
2019-03-20,p5,P5 Cash-Aware Copy,u0,Uncapped,0.900681584864,-0.099318415136,0.000000000000,1.000000000000,1.000000000000,1,-0.144679121026,SPY,1.030631976620,0.873911934906,,,
2019-03-21,p5,P5 Cash-Aware Copy,u0,Uncapped,0.902064210104,-0.097935789896,0.000000000000,1.000000000000,1.000000000000,1,-0.143366128449,SPY,1.042272695590,0.865478117119,,,
2019-03-22,p5,P5 Cash-Aware Copy,u0,Uncapped,0.870823299013,-0.129176700987,0.000000000000,1.000000000000,1.000000000000,1,-0.173033664661,SPY,1.022212751673,0.851900250303,,,
2019-03-25,p5,P5 Cash-Aware Copy,u0,Uncapped,0.857293323451,-0.142706676549,0.000000000000,1.000000000000,1.000000000000,1,-0.185882234882,SPY,1.021444036828,0.839295441102,,,
2019-03-26,p5,P5 Cash-Aware Copy,u0,Uncapped,0.881489265149,-0.118510734851,0.000000000000,1.000000000000,1.000000000000,1,-0.162904864778,SPY,1.029057989817,0.856598242151,,,
2019-03-27,p5,P5 Cash-Aware Copy,u0,Uncapped,0.904730701638,-0.095269298362,0.000000000000,1.000000000000,1.000000000000,1,-0.140833928478,SPY,1.023676945281,0.883804901350,,,
2019-03-28,p5,P5 Cash-Aware Copy,u0,Uncapped,0.917207413044,-0.082792586956,0.000000000000,1.000000000000,1.000000000000,1,-0.128985577245,SPY,1.027557117239,0.892609663887,,,
2019-03-29,p5,P5 Cash-Aware Copy,u0,Uncapped,0.921289120270,-0.078710879730,0.000000000000,1.000000000000,1.000000000000,1,-0.125109435587,SPY,1.034036418683,0.890963899940,,,
2019-04-01,p5,P5 Cash-Aware Copy,u0,Uncapped,0.951970561933,-0.048029438067,0.000000000000,1.000000000000,1.000000000000,1,-0.095973192443,SPY,1.046299217857,0.909845430147,,,
2019-04-02,p5,P5 Cash-Aware Copy,u0,Uncapped,0.941106880388,-0.058893119612,0.000000000000,1.000000000000,1.000000000000,1,-0.106289750264,SPY,1.046811748579,0.899022084597,,,
2019-04-03,p5,P5 Cash-Aware Copy,u0,Uncapped,0.960628264909,-0.039371735091,0.000000000000,1.000000000000,1.000000000000,1,-0.087751514279,SPY,1.048459052703,0.916228690508,,,
2019-04-04,p5,P5 Cash-Aware Copy,u0,Uncapped,0.881522349396,-0.118477650604,0.000000000000,1.000000000000,1.000000000000,1,-0.162873446742,SPY,1.051241008372,0.838553997015,,,
2019-04-05,p5,P5 Cash-Aware Copy,u0,Uncapped,0.905158821668,-0.094841178332,0.000000000000,1.000000000000,1.000000000000,1,-0.140427369705,SPY,1.056329230434,0.856890821147,,,
2019-04-08,p5,P5 Cash-Aware Copy,u0,Uncapped,0.899364634323,-0.100635365677,0.000000000000,1.000000000000,1.000000000000,1,-0.145929746456,SPY,1.057134543011,0.850757020730,,,
2019-04-09,p5,P5 Cash-Aware Copy,u0,Uncapped,0.896434950198,-0.103565049802,0.000000000000,1.000000000000,1.000000000000,1,-0.148711883943,SPY,1.051716900743,0.852353850703,,,
2019-04-10,p5,P5 Cash-Aware Copy,u0,Uncapped,0.908779818412,-0.091220181588,0.000000000000,1.000000000000,1.000000000000,1,-0.136988735930,SPY,1.055304290846,0.861154291037,,,
2019-04-11,p5,P5 Cash-Aware Copy,u0,Uncapped,0.883629371503,-0.116370628497,0.000000000000,1.000000000000,1.000000000000,1,-0.160872539839,SPY,1.055011387134,0.837554345174,,,
2019-04-12,p5,P5 Cash-Aware Copy,u0,Uncapped,0.881259156806,-0.118740843194,0.000000000000,1.000000000000,1.000000000000,1,-0.163123384257,SPY,1.062149528990,0.829694061668,,,
2019-04-15,p5,P5 Cash-Aware Copy,u0,Uncapped,0.876913763195,-0.123086236805,0.000000000000,1.000000000000,1.000000000000,1,-0.167249932357,SPY,1.061454009609,0.826143907562,,,
2019-04-16,p5,P5 Cash-Aware Copy,u0,Uncapped,0.899891513298,-0.100108486702,0.000000000000,1.000000000000,1.000000000000,1,-0.145429402499,SPY,1.062149528990,0.847236183547,,,
2019-04-17,p5,P5 Cash-Aware Copy,u0,Uncapped,0.892879677532,-0.107120322468,0.000000000000,1.000000000000,1.000000000000,1,-0.152088103678,SPY,1.059550561980,0.842696620219,,,
2019-04-18,p5,P5 Cash-Aware Copy,u0,Uncapped,0.899562152214,-0.100437847786,0.000000000000,1.000000000000,1.000000000000,1,-0.145742176088,SPY,1.061636998268,0.847334968244,,,
2019-04-22,p5,P5 Cash-Aware Copy,u0,Uncapped,0.864963930764,-0.135036069236,0.000000000000,1.000000000000,1.000000000000,1,-0.178597939633,SPY,1.062552144660,0.814043748452,,,
2019-04-23,p5,P5 Cash-Aware Copy,u0,Uncapped,0.868749361153,-0.131250638847,0.000000000000,1.000000000000,1.000000000000,1,-0.175003153527,SPY,1.072106264866,0.810320198308,,,
2019-04-24,p5,P5 Cash-Aware Copy,u0,Uncapped,0.851499629901,-0.148500370099,0.000000000000,1.000000000000,1.000000000000,1,-0.191384142707,SPY,1.069726924866,0.795997193403,,,
2019-04-25,p5,P5 Cash-Aware Copy,u0,Uncapped,0.815189422127,-0.184810577873,0.000000000000,1.000000000000,1.000000000000,1,-0.225865672419,SPY,1.069067921978,0.762523507972,,,
2019-04-26,p5,P5 Cash-Aware Copy,u0,Uncapped,0.774072616465,-0.225927383535,0.000000000000,1.000000000000,1.000000000000,1,-0.264911727040,SPY,1.074046350845,0.720706900458,,,
2019-04-29,p5,P5 Cash-Aware Copy,u0,Uncapped,0.794910754010,-0.205089245990,0.000000000000,1.000000000000,1.000000000000,1,-0.245123053195,SPY,1.075730171463,0.738949947764,,,
2019-04-30,p5,P5 Cash-Aware Copy,u0,Uncapped,0.785759256306,-0.214240743694,0.000000000000,1.000000000000,1.000000000000,1,-0.253813657280,SPY,1.076279259298,0.730070053397,,,
2019-05-01,p5,P5 Cash-Aware Copy,u0,Uncapped,0.770352860775,-0.229647139225,0.000000000000,1.000000000000,1.000000000000,1,-0.268444145999,SPY,1.068189413937,0.721176273350,,,
2019-05-02,p5,P5 Cash-Aware Copy,u0,Uncapped,0.803568456985,-0.196431543015,0.000000000000,1.000000000000,1.000000000000,1,-0.236901375031,SPY,1.065883269402,0.753899118274,,,
2019-05-03,p5,P5 Cash-Aware Copy,u0,Uncapped,0.839549836974,-0.160450163026,0.000000000000,1.000000000000,1.000000000000,1,-0.202732112469,SPY,1.076315897649,0.780021775027,,,
2019-05-06,p5,P5 Cash-Aware Copy,u0,Uncapped,0.840570323036,-0.159429676964,0.000000000000,1.000000000000,1.000000000000,1,-0.201763020783,SPY,1.071886637855,0.784197034789,,,
2019-05-07,p5,P5 Cash-Aware Copy,u0,Uncapped,0.813313002158,-0.186686997842,0.000000000000,1.000000000000,1.000000000000,1,-0.227647590917,SPY,1.053986406928,0.771654166327,,,
2019-05-08,p5,P5 Cash-Aware Copy,u0,Uncapped,0.806004840176,-0.193995159824,0.000000000000,1.000000000000,1.000000000000,1,-0.234587694540,SPY,1.052522213320,0.765784161109,,,
2019-05-09,p5,P5 Cash-Aware Copy,u0,Uncapped,0.796589656087,-0.203410343913,0.000000000000,1.000000000000,1.000000000000,1,-0.243528705066,SPY,1.049337520125,0.759135779298,,,
2019-05-10,p5,P5 Cash-Aware Copy,u0,Uncapped,0.788491422539,-0.211508577461,0.000000000000,1.000000000000,1.000000000000,1,-0.251219090162,SPY,1.054608771465,0.747662492361,,,
2019-05-13,p5,P5 Cash-Aware Copy,u0,Uncapped,0.747308942178,-0.252691057822,0.000000000000,1.000000000000,1.000000000000,1,-0.290327511931,SPY,1.028106205074,0.726879128333,,,
2019-05-14,p5,P5 Cash-Aware Copy,u0,Uncapped,0.764756191322,-0.235243808678,0.000000000000,1.000000000000,1.000000000000,1,-0.273758952382,SPY,1.037404059919,0.737182570291,,,
2019-05-15,p5,P5 Cash-Aware Copy,u0,Uncapped,0.763571083973,-0.236428916027,0.000000000000,1.000000000000,1.000000000000,1,-0.274884374591,SPY,1.043480623837,0.731753965077,,,
2019-05-16,p5,P5 Cash-Aware Copy,u0,Uncapped,0.751654335789,-0.248345664211,0.000000000000,1.000000000000,1.000000000000,1,-0.286200963830,SPY,1.053144577857,0.713723786451,,,
2019-05-17,p5,P5 Cash-Aware Copy,u0,Uncapped,0.694703360224,-0.305296639776,0.000000000000,1.000000000000,1.000000000000,1,-0.340283737696,SPY,1.046335856207,0.663939170299,,,
2019-05-20,p5,P5 Cash-Aware Copy,u0,Uncapped,0.676038067623,-0.323961932377,0.000000000000,1.000000000000,1.000000000000,1,-0.358008996813,SPY,1.039417422600,0.650400938953,,,
2019-05-21,p5,P5 Cash-Aware Copy,u0,Uncapped,0.675116152865,-0.324883847135,0.000000000000,1.000000000000,1.000000000000,1,-0.358884481506,SPY,1.048788472909,0.643710500548,,,
2019-05-22,p5,P5 Cash-Aware Copy,u0,Uncapped,0.634460551480,-0.365539448520,0.000000000000,1.000000000000,1.000000000000,1,-0.397492559318,SPY,1.045567181981,0.606809932842,,,
2019-05-23,p5,P5 Cash-Aware Copy,u0,Uncapped,0.643546226347,-0.356453773653,0.000000000000,1.000000000000,1.000000000000,1,-0.388864463059,SPY,1.032791811467,0.623113215269,,,
2019-05-24,p5,P5 Cash-Aware Copy,u0,Uncapped,0.627547425280,-0.372452574720,0.000000000000,1.000000000000,1.000000000000,1,-0.404057522205,SPY,1.035134513115,0.606247224229,,,
2019-05-28,p5,P5 Cash-Aware Copy,u0,Uncapped,0.621193768508,-0.378806231492,0.000000000000,1.000000000000,1.000000000000,1,-0.410091192024,SPY,1.025507238065,0.605742939153,,,
2019-05-29,p5,P5 Cash-Aware Copy,u0,Uncapped,0.625012283144,-0.374987716856,0.000000000000,1.000000000000,1.000000000000,1,-0.406464987881,SPY,1.018625361570,0.613584058206,,,
2019-05-30,p5,P5 Cash-Aware Copy,u0,Uncapped,0.619613625377,-0.380386374623,0.000000000000,1.000000000000,1.000000000000,1,-0.411591754969,SPY,1.021407398477,0.606627312765,,,
2019-05-31,p5,P5 Cash-Aware Copy,u0,Uncapped,0.609540212914,-0.390459787086,0.000000000000,1.000000000000,1.000000000000,1,-0.421157843747,SPY,1.007643653612,0.604916441173,,,
2019-06-03,p5,P5 Cash-Aware Copy,u0,Uncapped,0.589162785852,-0.410837214148,0.000000000000,1.000000000000,1.000000000000,1,-0.440509009708,SPY,1.005081316829,0.586184198220,,,
2019-06-04,p5,P5 Cash-Aware Copy,u0,Uncapped,0.637324560905,-0.362675439095,0.000000000000,1.000000000000,1.000000000000,1,-0.394772788979,SPY,1.026898276828,0.620630665458,,,
2019-06-05,p5,P5 Cash-Aware Copy,u0,Uncapped,0.647167371229,-0.352832628771,0.000000000000,1.000000000000,1.000000000000,1,-0.385425688606,SPY,1.035793404707,0.624803525769,,,
2019-06-06,p5,P5 Cash-Aware Copy,u0,Uncapped,0.677980162291,-0.322019837709,0.000000000000,1.000000000000,1.000000000000,1,-0.356164711167,SPY,1.042528839094,0.650322693116,,,
2019-06-07,p5,P5 Cash-Aware Copy,u0,Uncapped,0.673206648650,-0.326793351350,0.000000000000,1.000000000000,1.000000000000,1,-0.360697818041,SPY,1.052961467341,0.639345949050,,,
2019-06-10,p5,P5 Cash-Aware Copy,u0,Uncapped,0.700793478749,-0.299206521251,0.000000000000,1.000000000000,1.000000000000,1,-0.334500333641,SPY,1.057793424042,0.662505043822,,,
2019-06-11,p5,P5 Cash-Aware Copy,u0,Uncapped,0.714685405847,-0.285314594153,0.000000000000,1.000000000000,1.000000000000,1,-0.321308040720,SPY,1.057537158680,0.675801696404,,,
2019-06-12,p5,P5 Cash-Aware Copy,u0,Uncapped,0.688876730565,-0.311123269435,0.000000000000,1.000000000000,1.000000000000,1,-0.345816922880,SPY,1.055670349403,0.652549094473,,,
2019-06-13,p5,P5 Cash-Aware Copy,u0,Uncapped,0.704184367150,-0.295815632850,0.000000000000,1.000000000000,1.000000000000,1,-0.331280219345,SPY,1.060026332495,0.664308371937,,,
2019-06-14,p5,P5 Cash-Aware Copy,u0,Uncapped,0.707509087057,-0.292490912943,0.000000000000,1.000000000000,1.000000000000,1,-0.328122941122,SPY,1.058855042599,0.668183139895,,,
2019-06-17,p5,P5 Cash-Aware Copy,u0,Uncapped,0.740790846823,-0.259209153177,0.000000000000,1.000000000000,1.000000000000,1,-0.296517338770,SPY,1.059257658268,0.699349059259,,,
2019-06-18,p5,P5 Cash-Aware Copy,u0,Uncapped,0.739836346551,-0.260163653449,0.000000000000,1.000000000000,1.000000000000,1,-0.297423767885,SPY,1.070349126927,0.691210305067,,,
2019-06-19,p5,P5 Cash-Aware Copy,u0,Uncapped,0.745399586101,-0.254600413899,0.000000000000,1.000000000000,1.000000000000,1,-0.292140707787,SPY,1.072765145896,0.694839489288,,,
2019-06-20,p5,P5 Cash-Aware Copy,u0,Uncapped,0.722981157287,-0.277018842713,0.000000000000,1.000000000000,1.000000000000,1,-0.313430085255,SPY,1.083014663627,0.667563590382,,,
2019-06-21,p5,P5 Cash-Aware Copy,u0,Uncapped,0.730355487763,-0.269644512237,0.000000000000,1.000000000000,1.000000000000,1,-0.306427145559,SPY,1.081413746417,0.675371004098,,,
